grain,duration
50003,5
50005,1
50006,2
50011,1
50012,4
50013,9
50014,30
50016,28
50017,109
50018,1
50019,4
50020,54
50021,10
50024,7
50025,15
50026,1
50027,69
50028,49
50029,11
50030,10
50034,38
50037,6
50039,95
50042,44
50043,3
50044,33
50047,11
50048,6
50049,203
50052,1
50057,135
50058,21
50063,12
50064,1
50065,23
50072,2
50073,16
50075,55
50077,18
50080,1
50081,3
50083,4
50085,162
50088,4
50090,142
50091,7
50093,1
50094,4
50095,2
50096,9
50097,18
50100,9
50101,31
50106,1
50107,27
50109,85
50110,4
50113,118
50118,38
50124,1
50125,106
50126,21
50127,2
50132,3
50134,224
50135,44
50136,26
50142,176
50143,2
50144,1
50145,89
50148,40
50149,3
50150,25
50151,2
50154,59
50157,1
50159,50
50161,41
50163,114
50164,22
50165,3
50167,22
50170,1
50173,23
50174,79
50175,7
50179,1
50182,2
50184,2
50185,1
50187,162
50190,53
50191,37
50192,11
50193,6
50195,31
50198,14
50201,1
50203,70
50205,6
50206,1
50209,1
50210,11
50212,2
50213,28
50217,27
50219,55
50220,94
50222,10
50223,130
50226,12
50229,29
50232,36
50233,8
50234,9
50237,4
50240,24
50241,24
50245,130
50247,25
50248,12
50249,28
50250,1
50256,111
50257,1
50260,26
50263,13
50268,50
50270,16
50272,7
50273,6
50275,2
50277,247
50279,11
50281,180
50282,6
50283,1
50285,11
50287,12
50288,7
50298,47
50302,4
50304,35
50305,15
50306,22
50310,3
50311,2
50312,2
50313,12
50315,156
50321,47
50324,7
50325,124
50326,1
50328,47
50338,9
50339,14
50340,10
50341,2
50344,3
50345,38
50347,10
50349,1
50350,69
50354,2
50355,1
50357,2
50358,48
50359,49
50362,5
50364,115
50366,49
50367,11
50370,45
50373,27
50376,45
50377,7
50378,17
50379,2
50380,1
50381,7
50382,22
50383,52
50384,9
50385,18
50387,1
50388,43
50390,8
50392,23
50393,11
50395,4
50397,30
50400,11
50401,186
50403,20
50405,1
50406,8
50407,62
50411,733
50412,26
50414,10
50415,4
50416,1
50417,48
50419,139
50421,2
50422,5
50423,8
50424,244
50425,195
50430,7
50431,44
50433,37
50435,2
50436,17
50437,39
50438,40
50440,27
50441,99
50442,2
50445,1
50451,3
50455,12
50457,2
50458,19
50459,102
50460,12
50461,146
50462,1
50463,2
50467,2
50469,1
50471,32
50474,6
50480,3
50484,16
50488,8
50489,34
50492,3
50493,2
50494,1
50495,7
50496,3
50497,37
50501,3
50502,2
50503,33
50505,2
50506,7
50507,14
50509,2
50510,16
50511,8
50512,1
50516,17
50518,4
50520,4
50524,2
50529,2
50530,25
50534,41
50536,16
50539,4
50542,2
50543,3
50544,2
50547,35
50548,12
50549,76
50550,17
50552,159
50554,168
50555,45
50557,34
50558,190
50562,110
50565,215
50571,1
50574,122
50577,8
50580,2
50582,99
50588,13
50589,3
50590,194
50594,11
50598,2
50599,11
50600,26
50603,11
50604,6
50606,10
50607,1
50610,3
50611,1
50618,1
50624,5
50626,27
50627,102
50629,159
50631,30
50633,1
50635,3
50639,1
50640,2
50645,2
50647,56
50648,127
50651,1
50656,26
50657,31
50663,1
50665,5
50666,92
50667,20
50669,9
50670,84
50673,130
50674,141
50676,8
50678,1
50679,1
50680,12
50681,9
50682,13
50683,18
50684,2
50689,43
50691,165
50695,1
50696,4
50698,78
50705,4
50706,151
50708,74
50709,54
50712,8
50713,6
50716,13
50717,1
50718,11
50721,170
50727,21
50729,12
50736,41
50743,33
50744,2
50745,11
50751,1
50752,2
50753,3
50757,35
50763,1
50768,7
50773,1
50779,25
50780,217
50784,1
50788,1
50789,5
50791,46
50794,188
50795,3
50797,215
50798,21
50802,43
50803,44
50811,22
50812,1
50816,43
50817,13
50818,39
50819,60
50820,2
50823,132
50827,9
50828,1
50831,170
50832,1
50833,86
50834,203
50836,80
50837,11
50838,1
50839,65
50841,120
50842,1
50844,68
50847,13
50848,6
50849,39
50850,21
50854,14
50856,24
50857,207
50858,3
50862,4
50863,206
50867,4
50873,2
50874,93
50875,3
50877,13
50879,34
50882,3
50885,176
50886,14
50887,31
50889,28
50890,27
50891,2
50893,15
50895,80
50898,32
50899,33
50900,64
50901,4
50905,8
50906,13
50911,14
50913,3
50914,123
50915,17
50916,1
50918,52
50923,5
50925,17
50927,1
50931,34
50934,8
50938,49
50940,3
50946,1
50948,3
50950,1
50952,7
50953,5
50954,72
50956,229
50962,25
50964,57
50965,4
50967,2
50971,42
50972,57
50973,101
50974,1
50978,11
50979,157
50983,48
50986,27
50988,227
50989,3
50995,220
51004,2
51007,25
51009,7
51010,100
51015,2
51016,20
51018,1
51020,56
51022,35
51023,3
51025,18
51029,5
51031,60
51034,5
51035,10
51037,11
51039,13
51043,3
51044,8
51047,3
51048,2
51052,3
51058,3
51060,3
51064,20
51067,181
51069,2
51070,7
51074,3
51076,95
51078,307
51083,3
51085,40
51086,28
51087,248
51093,55
51099,1
51100,60
51101,169
51103,6
51104,1
51106,23
51107,4
51109,1
51110,4
51111,5
51112,3
51113,8
51119,9
51125,67
51129,22
51130,6
51131,38
51133,17
51134,15
51135,105
51137,23
51138,1
51139,2
51141,2
51144,29
51145,2
51147,5
51148,21
51154,2
51155,227
51156,2
51157,21
51158,2
51160,3
51161,12
51164,2
51166,7
51170,6
51171,1
51173,34
51175,11
51176,49
51181,99
51182,1
51183,172
51184,37
51185,23
51186,30
51189,2
51191,63
51198,12
51199,2
51205,1
51206,2
51211,2
51212,52
51213,4
51214,11
51216,20
51220,12
51223,9
51224,126
51227,36
51230,14
51231,11
51233,10
51234,13
51236,7
51237,14
51238,132
51239,1
51240,29
51241,2
51242,26
51244,20
51245,25
51248,2
51251,24
51254,4
51255,78
51259,1
51260,42
51264,94
51266,12
51271,203
51273,14
51277,4
51278,11
51280,1
51282,19
51283,2
51284,20
51286,1
51289,103
51292,3
51295,61
51300,5
51301,1
51302,66
51303,172
51306,45
51309,67
51310,1
51313,9
51316,19
51317,70
51321,5
51322,2
51323,1
51329,16
51344,76
51345,33
51349,2
51352,1
51353,17
51355,4
51358,92
51361,54
51365,33
51367,108
51370,18
51371,266
51372,140
51376,491
51378,7
51380,11
51385,65
51387,9
51388,3
51392,40
51393,5
51394,27
51395,23
51396,1
51397,97
51398,20
51400,25
51401,141
51404,5
51409,7
51419,3
51420,218
51421,21
51423,111
51424,1
51426,12
51427,194
51428,10
51430,33
51431,3
51432,7
51433,10
51436,16
51438,2
51441,27
51442,28
51443,2
51444,9
51445,2
51446,216
51451,15
51452,15
51453,47
51455,2
51456,48
51457,1
51459,42
51460,5
51461,244
51464,1
51466,1
51467,8
51471,3
51475,9
51477,8
51479,38
51481,3
51482,11
51486,7
51487,28
51490,20
51492,38
51493,2
51494,39
51497,1
51499,63
51500,143
51504,2
51508,4
51509,38
51512,2
51514,2
51516,3
51517,21
51520,2
51521,3
51524,3
51529,1
51530,53
51531,5
51533,5
51534,1
51538,4
51542,1
51543,55
51545,107
51548,12
51551,17
51552,1
51554,58
51555,127
51560,4
51562,15
51564,1
51566,27
51569,231
51570,2
51571,4
51572,15
51574,1
51581,2
51583,52
51584,2
51590,45
51591,1
51594,1
51595,14
51600,13
51601,189
51603,1
51611,12
51613,244
51614,11
51615,36
51618,61
51620,2
51622,70
51623,32
51624,3
51626,3
51630,72
51631,11
51633,1
51638,121
51644,4
51650,37
51653,5
51657,31
51658,3
51659,36
51661,103
51662,5
51663,29
51664,55
51665,122
51667,163
51668,203
51672,2
51673,2
51676,24
51678,13
51680,29
51682,2
51683,1
51684,3
51685,9
51686,11
51687,11
51691,16
51694,44
51695,5
51700,11
51702,4
51704,8
51709,124
51710,2
51711,100
51712,2
51713,7
51714,2
51716,18
51718,107
51721,53
51722,4
51723,3
51724,8
51726,1
51728,1
51729,59
51732,28
51739,102
51743,175
51746,17
51748,16
51753,273
51754,2
51757,191
51761,140
51763,164
51764,4
51765,69
51767,34
51769,5
51771,1
51772,8
51773,3
51775,39
51778,15
51782,5
51783,34
51785,258
51786,89
51787,44
51789,2
51793,5
51796,118
51798,15
51800,28
51801,17
51803,1
51805,97
51807,18
51809,44
51810,1
51811,3
51812,1
51818,39
51819,7
51821,6
51823,7
51824,2
51827,1
51828,1
51832,3
51833,2
51834,5
51835,27
51836,6
51837,59
51839,99
51840,45
51842,1
51846,8
51851,37
51853,140
51855,8
51858,1
51862,102
51866,119
51869,56
51874,94
51876,167
51877,1
51878,91
51879,5
51880,6
51881,37
51884,59
51890,19
51891,31
51893,16
51895,1
51898,17
51900,74
51902,95
51907,2
51908,12
51910,1
51913,13
51915,16
51916,14
51917,84
51919,14
51921,9
51923,21
51925,27
51928,36
51933,145
51935,2
51938,3
51939,1
51943,22
51944,172
51945,90
51947,20
51949,2
51952,7
51954,1
51956,40
51957,2
51960,1
51961,4
51965,4
51966,64
51969,2
51971,119
51972,73
51975,22
51977,34
51979,14
51981,21
51982,14
51983,51
51987,144
51988,13
51990,18
51992,157
51997,65
51999,38
52001,14
52002,10
52003,23
52004,43
52020,28
52021,214
52022,59
52024,43
52025,43
52026,13
52028,4
52029,2
52034,3
52036,13
52039,5
52040,21
52041,90
52044,1
52045,145
52046,161
52048,5
52051,2
52052,72
52053,15
52054,73
52056,130
52058,1
52061,116
52062,4
52067,1
52071,2
52073,39
52076,5
52079,1
52080,109
52085,9
52090,211
52093,167
52094,14
52096,61
52097,1
52099,10
52100,178
52104,2
52105,3
52106,4
52107,64
52108,8
52110,142
52114,8
52115,78
52119,58
52120,4
52123,2
52124,4
52125,75
52128,8
52131,15
52132,12
52134,318
52135,12
52136,11
52137,4
52138,114
52140,11
52146,12
52149,4
52151,3
52153,1
52156,18
52160,1
52163,12
52165,1
52166,1
52171,99
52173,4
52175,1
52176,51
52178,5
52180,2
52182,44
52183,134
52185,46
52186,3
52188,76
52190,1
52191,133
52192,47
52194,79
52196,9
52198,129
52199,8
52207,6
52208,109
52209,125
52211,3
52212,23
52213,1
52215,1
52216,4
52217,92
52219,2
52221,50
52222,5
52223,3
52228,2
52233,34
52234,3
52236,77
52244,13
52246,126
52247,39
52254,1
52257,39
52258,32
52263,12
52264,5
52267,2
52268,5
52269,6
52270,3
52272,64
52273,1
52275,14
52277,43
52283,16
52284,1
52285,8
52289,1
52295,196
52297,126
52298,10
52301,22
52303,37
52304,26
52306,6
52311,41
52312,199
52313,20
52315,102
52319,83
52322,25
52324,301
52327,182
52330,31
52336,35
52338,39
52339,20
52340,1
52342,83
52345,2
52348,3
52349,10
52350,2
52352,145
52353,66
52354,1
52357,52
52360,46
52364,138
52366,114
52367,221
52371,39
52373,185
52374,27
52375,5
52377,12
52379,56
52380,26
52381,10
52383,1
52384,86
52388,17
52391,3
52395,5
52398,2
52405,31
52410,78
52412,8
52413,1
52417,10
52420,6
52424,8
52428,4
52429,1
52430,2
52432,2
52433,1
52435,19
52436,20
52437,1
52440,166
52443,51
52445,44
52446,1
52447,2
52448,62
52450,1
52453,1
52455,122
52456,16
52457,47
52458,4
52459,1
52460,10
52461,2
52465,121
52467,6
52470,5
52472,34
52480,1
52481,77
52485,2
52486,4
52489,1
52492,15
52493,26
52496,3
52498,40
52500,99
52502,3
52504,10
52506,63
52508,9
52510,58
52511,5
52514,19
52516,1
52518,147
52520,10
52523,44
52525,4
52526,23
52529,5
52530,46
52533,45
52537,1
52538,4
52540,3
52541,71
52543,35
52544,1
52545,51
52551,2
52552,262
52553,1
52556,2
52557,4
52560,1
52563,2
52564,1
52565,3
52566,33
52567,1
52571,19
52572,6
52574,3
52578,38
52581,147
52582,127
52583,1
52584,25
52587,8
52593,16
52594,10
52595,4
52596,80
52600,6
52604,6
