grain,size
50003,6
50005,1
50006,2
50011,1
50012,5
50013,25
50014,85
50016,97
50017,828
50018,1
50019,5
50020,308
50021,13
50024,17
50025,40
50026,1
50027,647
50028,152
50029,30
50030,18
50034,140
50037,8
50039,507
50042,109
50043,3
50044,186
50047,20
50048,12
50049,976
50052,1
50057,868
50058,108
50063,21
50064,1
50065,86
50072,2
50073,44
50075,245
50077,105
50080,1
50081,3
50083,5
50085,1375
50088,4
50090,1333
50091,14
50093,1
50094,5
50095,2
50096,20
50097,40
50100,12
50101,106
50106,1
50107,113
50109,379
50110,4
50113,1947
50118,180
50124,1
50125,920
50126,54
50127,2
50132,5
50134,3416
50135,223
50136,62
50142,890
50143,2
50144,1
50145,1217
50148,120
50149,6
50150,57
50151,2
50154,740
50157,1
50159,326
50161,222
50163,974
50164,57
50165,3
50167,130
50170,1
50173,118
50174,419
50175,10
50179,1
50182,2
50184,2
50185,1
50187,1790
50190,246
50191,99
50192,43
50193,8
50195,125
50198,36
50201,1
50203,413
50205,10
50206,1
50209,1
50210,26
50212,3
50213,136
50217,107
50219,347
50220,480
50222,13
50223,1420
50226,29
50229,100
50232,245
50233,17
50234,29
50237,11
50240,87
50241,164
50245,853
50247,82
50248,19
50249,83
50250,1
50256,757
50257,1
50260,88
50263,27
50268,212
50270,51
50272,16
50273,14
50275,2
50277,4025
50279,20
50281,2126
50282,10
50283,1
50285,13
50287,41
50288,9
50298,187
50302,5
50304,242
50305,42
50306,81
50310,5
50311,2
50312,3
50313,62
50315,853
50321,276
50324,11
50325,1007
50326,1
50328,352
50338,16
50339,42
50340,20
50341,2
50344,4
50345,160
50347,21
50349,1
50350,518
50354,2
50355,1
50357,2
50358,395
50359,339
50362,6
50364,1122
50366,346
50367,31
50370,234
50373,134
50376,193
50377,13
50378,30
50379,2
50380,1
50381,15
50382,38
50383,256
50384,21
50385,92
50387,1
50388,222
50390,11
50392,53
50393,25
50395,4
50397,116
50400,26
50401,2505
50403,78
50405,1
50406,13
50407,408
50411,11331
50412,94
50414,16
50415,5
50416,1
50417,408
50419,3129
50421,2
50422,13
50423,17
50424,2988
50425,1318
50430,9
50431,132
50433,121
50435,3
50436,54
50437,311
50438,169
50440,74
50441,478
50442,2
50445,1
50451,3
50455,32
50457,2
50458,66
50459,1240
50460,28
50461,947
50462,1
50463,3
50467,2
50469,1
50471,116
50474,10
50480,3
50484,38
50488,14
50489,147
50492,3
50493,2
50494,1
50495,16
50496,6
50497,172
50501,3
50502,3
50503,100
50505,2
50506,10
50507,27
50509,2
50510,40
50511,10
50512,1
50516,72
50518,4
50520,4
50524,2
50529,2
50530,121
50534,189
50536,34
50539,4
50542,2
50543,4
50544,3
50547,111
50548,21
50549,389
50550,46
50552,1175
50554,1293
50555,234
50557,242
50558,2408
50562,872
50565,2699
50571,1
50574,892
50577,14
50580,2
50582,697
50588,35
50589,3
50590,1949
50594,19
50598,3
50599,17
50600,91
50603,24
50604,7
50606,21
50607,1
50610,6
50611,1
50618,1
50624,10
50626,86
50627,899
50629,1132
50631,90
50633,1
50635,7
50639,1
50640,3
50645,3
50647,312
50648,1143
50651,1
50656,85
50657,117
50663,1
50665,7
50666,282
50667,52
50669,19
50670,584
50673,1645
50674,888
50676,9
50678,1
50679,1
50680,53
50681,19
50682,22
50683,71
50684,2
50689,236
50691,4540
50695,1
50696,4
50698,522
50705,5
50706,1851
50708,486
50709,450
50712,10
50713,11
50716,23
50717,1
50718,21
50721,1540
50727,43
50729,30
50736,218
50743,127
50744,2
50745,21
50751,1
50752,2
50753,3
50757,106
50763,1
50768,17
50773,1
50779,45
50780,2183
50784,1
50788,1
50789,7
50791,293
50794,2132
50795,3
50797,1842
50798,34
50802,275
50803,149
50811,85
50812,1
50816,264
50817,42
50818,173
50819,381
50820,2
50823,1456
50827,13
50828,1
50831,1822
50832,1
50833,602
50834,2204
50836,517
50837,28
50838,1
50839,396
50841,1003
50842,1
50844,563
50847,44
50848,8
50849,211
50850,56
50854,63
50856,62
50857,3769
50858,3
50862,4
50863,4759
50867,4
50873,3
50874,634
50875,3
50877,58
50879,127
50882,5
50885,2262
50886,25
50887,95
50889,135
50890,91
50891,2
50893,29
50895,388
50898,106
50899,138
50900,347
50901,4
50905,16
50906,20
50911,35
50913,4
50914,944
50915,46
50916,1
50918,336
50923,7
50925,81
50927,1
50931,187
50934,16
50938,272
50940,4
50946,1
50948,3
50950,1
50952,16
50953,7
50954,625
50956,1403
50962,131
50964,623
50965,7
50967,2
50971,212
50972,182
50973,689
50974,1
50978,19
50979,2051
50983,176
50986,136
50988,1873
50989,5
50995,1909
51004,2
51007,78
51009,9
51010,670
51015,2
51016,74
51018,1
51020,217
51022,140
51023,3
51025,47
51029,13
51031,310
51034,9
51035,12
51037,26
51039,25
51043,3
51044,11
51047,8
51048,2
51052,3
51058,3
51060,4
51064,79
51067,2363
51069,4
51070,17
51074,4
51076,610
51078,4538
51083,3
51085,197
51086,97
51087,8495
51093,165
51099,1
51100,437
51101,1920
51103,9
51104,1
51106,61
51107,4
51109,1
51110,5
51111,9
51112,3
51113,18
51119,17
51125,857
51129,87
51130,9
51131,154
51133,52
51134,23
51135,789
51137,60
51138,1
51139,2
51141,3
51144,85
51145,2
51147,7
51148,40
51154,2
51155,4411
51156,2
51157,35
51158,2
51160,3
51161,36
51164,3
51166,10
51170,11
51171,1
51173,125
51175,26
51176,251
51181,764
51182,1
51183,1675
51184,153
51185,90
51186,122
51189,2
51191,450
51198,34
51199,2
51205,1
51206,4
51211,2
51212,261
51213,5
51214,33
51216,98
51220,33
51223,20
51224,1098
51227,100
51230,48
51231,25
51233,15
51234,18
51236,15
51237,31
51238,1303
51239,1
51240,110
51241,2
51242,92
51244,38
51245,46
51248,3
51251,52
51254,4
51255,445
51259,1
51260,298
51264,381
51266,29
51271,6369
51273,48
51277,5
51278,21
51280,1
51282,77
51283,3
51284,88
51286,1
51289,1132
51292,3
51295,242
51300,5
51301,1
51302,657
51303,2466
51306,197
51309,439
51310,1
51313,11
51316,91
51317,415
51321,5
51322,3
51323,1
51329,37
51344,1136
51345,109
51349,2
51352,1
51353,34
51355,4
51358,1184
51361,244
51365,303
51367,968
51370,58
51371,2524
51372,1721
51376,5104
51378,10
51380,27
51385,312
51387,32
51388,4
51392,208
51393,13
51394,75
51395,87
51396,1
51397,623
51398,47
51400,80
51401,1599
51404,6
51409,12
51419,3
51420,1306
51421,101
51423,891
51424,1
51426,50
51427,2366
51428,17
51430,274
51431,4
51432,8
51433,20
51436,40
51438,2
51441,79
51442,104
51443,3
51444,17
51445,2
51446,2732
51451,81
51452,33
51453,265
51455,2
51456,200
51457,1
51459,194
51460,5
