grain,size,duration,unique_sites,max_radius
50003,6,5,6,4
50005,1,1,1,0
50006,2,2,2,1
50011,1,1,1,0
50012,5,4,5,3
50013,25,9,21,6
50014,85,30,85,14
50016,97,28,60,8
50017,828,109,575,43
50018,1,1,1,0
50019,5,4,5,3
50020,308,54,308,25
50021,13,10,13,5
50024,17,7,17,6
50025,40,15,40,9
50026,1,1,1,0
50027,647,69,646,43
50028,152,49,152,24
50029,30,11,30,7
50030,18,10,18,7
50034,140,38,122,18
50037,8,6,8,4
50039,507,95,430,34
50042,109,44,109,21
50043,3,3,3,2
50044,186,33,186,28
50047,20,11,20,6
50048,12,6,12,5
50049,976,203,913,43
50052,1,1,1,0
50057,868,135,791,38
50058,108,21,105,14
50063,21,12,20,4
50064,1,1,1,0
50065,86,23,86,16
50072,2,2,2,1
50073,44,16,44,12
50075,245,55,238,34
50077,105,18,82,11
50080,1,1,1,0
50081,3,3,3,2
50083,5,4,5,3
50085,1375,162,1375,65
50088,4,4,4,3
50090,1333,142,959,42
50091,14,7,13,4
50093,1,1,1,0
50094,5,4,5,3
50095,2,2,2,1
50096,20,9,20,6
50097,40,18,40,15
50100,12,9,12,5
50101,106,31,100,13
50106,1,1,1,0
50107,113,27,113,22
50109,379,85,379,31
50110,4,4,4,2
50113,1947,118,1007,34
50118,180,38,172,17
50124,1,1,1,0
50125,920,106,920,51
50126,54,21,54,11
50127,2,2,2,1
50132,5,3,5,2
50134,3416,224,2300,61
50135,223,44,207,21
50136,62,26,62,13
50142,890,176,890,52
50143,2,2,2,1
50144,1,1,1,0
50145,1217,89,842,43
50148,120,40,100,14
50149,6,3,6,2
50150,57,25,57,17
50151,2,2,2,1
50154,740,59,467,26
50157,1,1,1,0
50159,326,50,326,30
50161,222,41,170,20
50163,974,114,681,46
50164,57,22,57,13
50165,3,3,3,2
50167,130,22,102,15
50170,1,1,1,0
50173,118,23,110,11
50174,419,79,386,42
50175,10,7,10,4
50179,1,1,1,0
50182,2,2,2,1
50184,2,2,2,1
50185,1,1,1,0
50187,1790,162,1620,74
50190,246,53,180,22
50191,99,37,98,14
50192,43,11,35,8
50193,8,6,8,3
50195,125,31,84,13
50198,36,14,36,13
50201,1,1,1,0
50203,413,70,267,25
50205,10,6,10,4
50206,1,1,1,0
50209,1,1,1,0
50210,26,11,25,6
50212,3,2,3,1
50213,136,28,120,15
50217,107,27,107,13
50219,347,55,274,22
50220,480,94,477,33
50222,13,10,13,5
50223,1420,130,918,55
50226,29,12,29,10
50229,100,29,100,19
50232,245,36,163,14
50233,17,8,17,5
50234,29,9,23,6
50237,11,4,11,3
50240,87,24,87,19
50241,164,24,164,21
50245,853,130,853,68
50247,82,25,63,8
50248,19,12,19,9
50249,83,28,83,15
50250,1,1,1,0
50256,757,111,552,43
50257,1,1,1,0
50260,88,26,88,12
50263,27,13,27,9
50268,212,50,212,28
50270,51,16,39,7
50272,16,7,16,5
50273,14,6,14,4
50275,2,2,2,1
50277,4025,247,2048,88
50279,20,11,20,6
50281,2126,180,1557,53
50282,10,6,10,4
50283,1,1,1,0
50285,13,11,13,8
50287,41,12,38,8
50288,9,7,9,4
50298,187,47,187,19
50302,5,4,5,3
50304,242,35,242,24
50305,42,15,34,6
50306,81,22,81,16
50310,5,3,5,2
50311,2,2,2,1
50312,3,2,3,1
50313,62,12,43,7
50315,853,156,853,67
50321,276,47,218,19
50324,11,7,11,5
50325,1007,124,1007,62
50326,1,1,1,0
50328,352,47,350,28
50338,16,9,16,4
50339,42,14,42,9
50340,20,10,19,5
50341,2,2,2,1
50344,4,3,4,2
50345,160,38,160,23
50347,21,10,21,5
50349,1,1,1,0
50350,518,69,518,37
50354,2,2,2,1
50355,1,1,1,0
50357,2,2,2,1
50358,395,48,395,27
50359,339,49,339,29
50362,6,5,6,3
50364,1122,115,1122,48
50366,346,49,346,36
50367,31,11,31,8
50370,234,45,234,26
50373,134,27,134,16
50376,193,45,193,23
50377,13,7,13,6
50378,30,17,30,9
50379,2,2,2,1
50380,1,1,1,0
50381,15,7,15,6
50382,38,22,34,7
50383,256,52,230,21
50384,21,9,18,5
50385,92,18,92,11
50387,1,1,1,0
50388,222,43,222,25
50390,11,8,11,4
50392,53,23,53,13
50393,25,11,24,5
50395,4,4,4,3
50397,116,30,116,17
50400,26,11,26,10
50401,2505,186,2505,72
50403,78,20,78,11
50405,1,1,1,0
50406,13,8,13,5
50407,408,62,289,25
50411,11331,733,3295,60
50412,94,26,94,14
50414,16,10,16,7
50415,5,4,5,3
50416,1,1,1,0
50417,408,48,249,19
50419,3129,139,1734,56
50421,2,2,2,1
50422,13,5,12,3
50423,17,8,17,5
50424,2988,244,1690,74
50425,1318,195,1318,82
50430,9,7,9,4
50431,132,44,132,24
50433,121,37,120,18
50435,3,2,3,1
50436,54,17,54,13
50437,311,39,216,20
50438,169,40,169,17
50440,74,27,72,11
50441,478,99,478,41
50442,2,2,2,1
